project_version,survey,count
Galaxy Zoo, sloan, 893212
Galaxy Zoo 2, sloan, 304122
Galaxy Zoo: Hubble, hubble, 169944
GZ4, candels, 52077
GZ4, candels_2epoch, 2510
GZ4, goods_full, 11158
GZ4, ferengi, 6625
GZ4, sloan_singleband, 4976
GZ4, ukidss, 70503
GZ4, sloan, 235444
total,--,1750571
